ID,県名,集落名,記号,音調コード,音調体系,位置情報,代表地点名,緯度,経度,備考
H-001,山口,下関,▲,1,東京式音調,D2,下関市役所,33.95740734,130.9409137,
H-002,福岡,門司,▲,1,東京式音調,D2,北九州市門司区役所,33.94145533,130.9592881,「もじ」
H-003,福岡,企救,▲,1,東京式音調,D2,北九州市立企救中学校,33.84317142,130.8855662,「きく」
H-004,福岡,小倉,▲,1,東京式音調,D2,北九州市小倉北区役所,33.8805925,130.8737683,"小倉南区役所(33.84652874467702, 130.8848042)"
H-005,福岡,八幡,▲,1,東京式音調,D2,北九州市八幡東区役所,33.86361237,130.8118486,"八幡西区役所(33.866489616990606, 130.765171856736)"
H-006,福岡,折尾,▲,1,東京式音調,D2,八幡西区役所　折尾出張所,33.86639006,130.7215537,「おりお」
H-007,福岡,若松,▲,1,東京式音調,D2,北九州市若松区役所,33.90543618,130.8111616,
H-008,福岡,水巻,▲,1,東京式音調,D2,水巻町役場,33.8547894,130.6949266,
H-009,福岡,遠賀,▲,1,東京式音調,D2,遠賀町中央公民館,33.84881955,130.6680402,「おんが」
H-010,福岡,植木,◣,2,特殊音調1A,D2,直方市立植木小学校,33.77590933,130.7147294,
H-011,福岡,岡垣,◣,2,特殊音調1A,D2,岡垣町役場,33.85339938,130.6116246,
H-012,福岡,池野,◣,2,特殊音調1A,C-D2,池野地区コミュニティセンター,33.84986374,130.5434302,
H-013,福岡,東郷,◣,2,特殊音調1A,C2,宗像市立東郷小学校,33.79903972,130.5324911,
H-014,福岡,行橋,▲,1,東京式音調,D3,行橋市役所,33.72880897,130.982757,「ゆくはし」
H-015,福岡,金田,▲,1,東京式音調,D2-3,福智町立金田小学校,33.68377806,130.7721685,「かなだ」
H-016,福岡,宮田,◣,2,特殊音調1A,D2-3,宮若市立宮田小学校,33.70818158,130.6761294,
H-017,福岡,笠松,◣,2,特殊音調1A,D2,宮若市立笠松小学校,33.75317584,130.631001,
H-018,福岡,福丸,◣,2,特殊音調1A,D2,福丸保育園,33.72178143,130.6126836,"セブンイレブン宮若福丸店（33.730872680235464, 130.62528866830237）"
H-019,福岡,小野,◣,2,特殊音調1A,C3,古賀市立小野小学校,33.72674952,130.5125346,
H-020,福岡,仲原,◣,2,特殊音調1A,C3,粕屋町立仲原小学校,33.60599709,130.4718071,「なかばる」
H-021,福岡,椎田,▲,1,東京式音調,D3,築上町立椎田小学校,33.65248421,131.0627109,「しいだ」
H-022,福岡,豊津,▲,1,東京式音調,D3,みやこ町豊津支所,33.67206311,130.9724392,
H-023,福岡,白川,▲,1,東京式音調,D3,苅田町役場　白川出張所,33.74662908,130.9389584,
H-024,福岡,伊田,▲,1,東京式音調,D3,田川市立伊田小学校,33.64956838,130.8158603,
H-025,福岡,直方,▲,1,東京式音調,D3,直方市役所,33.74421967,130.7296196,「のおがた」
H-026,福岡,添田,▲,1,東京式音調,D3,添田町役場,33.57166091,130.8543112,
H-027,福岡,彦山,▲,1,東京式音調,D3,添田町役場　彦山総合センター,33.49998033,130.8680644,「ひこさん」
H-028,福岡,下落合,▲,1,東京式音調,D3,下落合公民館,33.51957784,130.8605965,googleで検索した住所をもとにgoogle mapで検索
H-029,福岡,飯塚,◣,3,曖昧音調1,D3,飯塚市役所,33.64654354,130.6911094,
H-030,福岡,桂川,◣,3,曖昧音調1,D3,桂川町役場,33.57898395,130.6781084,「けいせん」
H-031,福岡,穂波,◣,3,曖昧音調1,D3,飯塚市穂波支所,33.61982166,130.6816358,
H-032,福岡,大隈,▲,1,東京式音調,D3,嘉麻警察署 大隈町交番,33.56292752,130.7335488,「おおくま」
H-033,福岡,上穂波,◣,2,特殊音調1A,D3,飯塚市立上穂波小学校,33.57052823,130.6424014,
H-034,福岡,御笠,◣,2,特殊音調1A,C3,筑紫野市　御笠コミュニティセンター,33.51212831,130.5557444,「みかさ」
H-035,福岡,春日,◣,2,特殊音調1A,C3,春日市役所,33.53281718,130.4702226,
H-036,福岡,二日市,◣,2,特殊音調1A,C3,筑紫野市役所　二日市出張所,33.50014258,130.5153896,
H-037,福岡,福岡,◣,2,特殊音調1A,C3,福岡市役所,33.5901988,130.4017262,
H-038,福岡,金武,◣,2,特殊音調1A,C3,金武公民館,33.53433349,130.3213054,「かなたけ」
H-039,福岡,徳永,◣,2,特殊音調1A,C3,徳永公民館（福岡市西区）,33.57408246,130.2597207,
H-040,福岡,怡土,◣,2,特殊音調1A,C3,糸島市立　怡土コミュニティセンター,33.53625408,130.2513774,「いと」
H-041,福岡,北崎,◣,2,特殊音調1A,C3,北崎公民館,33.64108909,130.2275397,﨑？
H-042,福岡,前原,◣,2,特殊音調1A,C3,糸原市立前原小学校,33.56222715,130.2028533,
H-043,福岡,野北,◣,2,特殊音調1A,C3,糸島警察署 野北駐在所,33.61359153,130.1647257,「のぎた」
H-044,福岡,深江,△,3,曖昧音調1,C3,糸島市立深江小学校,33.51452679,130.1360369,「ふかえ」
H-045,福岡,福吉,△,3,曖昧音調1,C3,糸島市立　福吉コミュニティセンター,33.50309994,130.0827332,「ふくよし」
H-046,福岡,松末,△,3,曖昧音調1,D3,松末小学校,33.38202153,130.8399793,「ますえ」
H-047,福岡,杷木,△,3,曖昧音調1,D3,朝倉市　杷木支所,33.36383969,130.8138397,「はき」
H-048,福岡,秋月,×,4,一型音調,D3,朝倉市立秋月小学校,33.46352453,130.6870492,
H-049,福岡,三輪,×,4,一型音調,D3,筑前町立三輪小学校,33.43514742,130.6377909,「みわ」
H-050,福岡,甘木,×,4,一型音調,D3,朝倉市立甘木小学校,33.42571177,130.6573528,「あまぎ」
H-051,福岡,三国,×,4,一型音調,C-D3,三国校区コミュニティセンター,33.42432249,130.5629606,
H-052,福岡,志波,×,4,一型音調,D3,朝倉市立杷木志波小学校,33.36806121,130.7797693,「しわ」
H-053,福岡,蜷城,×,4,一型音調,D3,蜷城小学校,33.37565453,130.6729804,「ひなしろ」
H-054,福岡,柴刈,×,4,一型音調,D3,柴刈コミュニティセンター,33.36087678,130.6560634,"久留米市立柴刈小学校（33.35965574166693, 130.65677184975888）"
H-055,福岡,夜明,×,4,一型音調,D3,夜明公民館,33.3251256,130.8604278,地図は福岡となっていたが，周辺に「夜明」がなく大分県日田市にあるためそちらで処理
H-056,福岡,大石,×,4,一型音調,D3,大石コミュニティセンター,33.35527431,130.8085427,
H-057,福岡,星野,×,4,一型音調,D3-4,八女市　星野支所,33.2503434,130.7622137,
H-058,福岡,久留米,×,4,一型音調,C3,久留米市役所,33.31925993,130.5083519,
H-059,福岡,矢部,×,4,一型音調,D4,八女市役所　矢部支所,33.1505934,130.8208807,
H-060,福岡,黒木,×,4,一型音調,D4,八女市黒木支所,33.21762619,130.6672461,「くろぎ」
H-061,福岡,田口,×,4,一型音調,C4,大川市田口コミュニティセンター,33.1952903,130.3888763,
H-062,福岡,沖端,×,4,一型音調,C4,沖端郵便局,33.16070035,130.3962764,「おきのはた」
H-063,福岡,柳川,×,4,一型音調,C4,柳川市役所　柳川庁舎,33.16306772,130.4057392,「やながわ」
H-064,福岡,三池,×,4,一型音調,C4,三池地区公民館,33.04629964,130.479169,
H-065,福岡,大牟田,×,4,一型音調,C4,大牟田市役所,33.03023562,130.4459516,「おおむた」
H-066,福岡,銀水,●,5,京阪式音調,C4,大牟田市立銀水小学校,33.05478868,130.474213,
H-067,大分,豊崎,▲,1,東京式音調,E3,豊崎地区公民館,33.56940083,131.6819977,「とよさき」
H-068,大分,西安岐,▲,1,東京式音調,E4,国東警察署西安岐警察官駐在所,33.47066766,131.691399,「にしあき」
H-069,大分,高田,▲,1,東京式音調,E5,豊後高田市役所,33.55638012,131.4469307,髙→高　「たかだ」
H-070,大分,長洲,▲,1,東京式音調,E6,宇佐市役所　長洲出張所,33.56941758,131.3769764,
H-071,大分,立石,▲,1,東京式音調,E7,立石地区公民館,33.48418329,131.47219,
H-072,大分,安心院,▲,1,東京式音調,E8,宇佐市安心院地域複合支所,33.43861161,131.3542284,「あじむ」
H-073,大分,中津,▲,1,東京式音調,E9,中津市役所,33.59823006,131.1881741,
H-074,大分,上津,▲,1,東京式音調,D3,中津市　上津地区公民館,33.45664282,131.1855981,
H-075,大分,槻木,△,3,曖昧音調1,D3,旧槻木小学校　毛谷村分校,33.47592028,130.9900546,「つきのき」
H-076,大分,三郷,▲,1,東京式音調,D3,中津市立三郷小学校,33.40300738,131.05413,
H-077,大分,三花,◣,2,特殊音調1A,D3,三花公民館,33.34968112,130.9424836,
H-078,大分,小野,◣,2,特殊音調1A,D3,日田市　小野公民館,33.38117115,130.9402494,
H-079,大分,大鶴,▲,1,東京式音調,D3,大鶴公民館,33.3710183,130.889676,「おおつる」
H-080,大分,朝日,◣,2,特殊音調1A,D3,日田市朝日公民館,33.34102452,130.9195208,
H-081,大分,光岡,◣,2,特殊音調1A,D3,日田市光岡公民館,33.32824718,130.9219509,
H-082,大分,日田,◣,2,特殊音調1A,D3,日田市役所,33.32120022,130.941306,「ひた」
H-083,大分,前津江,◣,2,特殊音調1A,D3,日田市前津江公民館,33.20975885,130.9180209,「まえつえ」
H-084,大分,森町,▲,1,東京式音調,E3,森自治会館,33.29724593,131.1582403,
H-085,大分,北山田,▲,1,東京式音調,D-E3,玖珠町立北山田小学校,33.28479979,131.0951527,
H-086,大分,天瀬,◣,2,特殊音調1A,D3,天瀬公民館,33.25520816,131.02059,「あまがせ」
H-087,大分,一尺屋,▲,1,東京式音調,F3,大分市役所 市民部佐賀関支所一尺屋連絡所,33.20236583,131.8587667,
H-088,大分,鶴崎,▲,1,東京式音調,E3,大分市　鶴崎支所,33.24048745,131.6945722,
H-089,大分,大分,▲,1,東京式音調,E3,大分市役所 ,33.23948748,131.6091068,
H-090,大分,稙田,▲,1,東京式音調,E3,大分市稙田市民行政センター,33.18839677,131.57818,「わさだ」
H-091,大分,別府,▲,1,東京式音調,E3,別府市役所,33.28450061,131.4911764,
H-092,大分,南山田,▲,1,東京式音調,E4,南山田公民館,33.21747022,131.1736474,
H-093,大分,栃原,×,4,一型音調,D4,栃原公園,33.13067578,130.9691371,
H-094,大分,八所,×,4,一型音調,D4,小原津江神社（八所神社）,33.13922624,130.950809,「はっしょ」
H-095,大分,合瀬,×,4,一型音調,D4,宮園津江神社,33.1527333,130.9099787,中津江村合瀬「ごうせ」
H-096,大分,臼杵,▲,1,東京式音調,F4,臼杵市役所,33.1259202,131.8047182,「うすき」
H-097,大分,大野,▲,1,東京式音調,E4,豊後大野市役所,32.97752359,131.5841881,
H-098,大分,久住,▲,1,東京式音調,E4,竹田市　久住総合支所,33.02070324,131.2943445,「くじゅう」
H-099,大分,白丹,▲,1,東京式音調,E4,竹田市　白丹公民館,33.00933201,131.2645861,「しらに」
H-100,大分,上津江,×,4,一型音調,D4,日田市役所　上津江振興局,33.09480812,130.9760997,「かみつえ」
H-101,大分,竹田,▲,1,東京式音調,E4,竹田市役所,32.97376904,131.3979793,「たけた」
H-102,大分,荻,▲,1,東京式音調,E4,竹田市　荻支所,32.92137564,131.3025158,
H-103,大分,柏原,▲,1,東京式音調,E4,柏原郵便局,32.90514312,131.3024774,「かしわばる」
H-104,大分,佐伯,▲,1,東京式音調,F4,佐伯市役所,32.95973715,131.9001479,
H-105,大分,尺間,▲,1,東京式音調,F4,佐伯市尺間生活改善センター,32.99258834,131.8272502,
H-106,大分,三重,▲,1,東京式音調,E4,三重原区公民館,32.99206344,131.610716,
H-107,大分,長谷川,▲,1,東京式音調,E4,豊後大野市長谷川集会所,32.89862579,131.4414158,
H-108,大分,小野市,▲,1,東京式音調,E4,佐伯警察署　小野市警察官駐在所,32.85678461,131.6307565,「おのいち」
H-109,大分,名護屋,▲,1,東京式音調,F4,名護屋地区公民館,32.79317161,131.8742805,
H-110,大分,重岡,▲,1,東京式音調,E4,旧重岡小学校,32.8513084,131.6785879,
H-111,佐賀,呼子,×,4,一型音調,B3,呼子公民館,33.53297852,129.8877292,「よぶこ」
H-112,佐賀,基山,×,4,一型音調,C3,基山町役場,33.42718766,130.5231538,「きやま」
H-113,佐賀,中原,×,4,一型音調,C3,みやき町役場中原庁舎,33.34527243,130.4403502,「なかばる」
H-114,佐賀,鳥栖,×,4,一型音調,C3,鳥栖市役所,33.37752005,130.5060968,「とす」
H-115,佐賀,中原,×,4,一型音調,C3,みやき町役場 中原庁舎,33.3463158,130.436888,地図には近くに同地名あり（誤り？）
H-116,佐賀,神埼,×,4,一型音調,C3,神埼市役所,33.3118895,130.371301,「かんざき」
H-117,佐賀,仁比山,×,4,一型音調,C3,仁比山公民館,33.3595187,130.3644207,「にいやま」
H-118,佐賀,北山,×,4,一型音調,C3,佐賀市立小中一貫校北山校,33.43111165,130.201206,
